survived,name,sex,age
1,"Allen, Miss. Elisabeth Walton",female,29
1,"Allison, Master. Hudson Trevor",male,"0,9167"
0,"Allison, Miss. Helen Loraine",female,2
0,"Allison, Mr. Hudson Joshua Creighton",male,30
0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25
1,"Anderson, Mr. Harry",male,48
1,"Andrews, Miss. Kornelia Theodosia",female,63
0,"Andrews, Mr. Thomas Jr",male,39
1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53
0,"Artagaveytia, Mr. Ramon",male,71
0,"Astor, Col. John Jacob",male,47
1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18
1,"Aubart, Mme. Leontine Pauline",female,24
1,"Barber, Miss. Ellen ""Nellie""",female,26
1,"Barkworth, Mr. Algernon Henry Wilson",male,80
0,"Baumann, Mr. John D",male,
0,"Baxter, Mr. Quigg Edmond",male,24
1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50
1,"Bazzani, Miss. Albina",female,32
0,"Beattie, Mr. Thomson",male,36
1,"Beckwith, Mr. Richard Leonard",male,37
1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47
1,"Behr, Mr. Karl Howell",male,26
1,"Bidois, Miss. Rosalie",female,42
1,"Bird, Miss. Ellen",female,29
0,"Birnbaum, Mr. Jakob",male,25
1,"Bishop, Mr. Dickinson H",male,25
1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19
1,"Bissette, Miss. Amelia",female,35
1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28
0,"Blackwell, Mr. Stephen Weart",male,45
1,"Blank, Mr. Henry",male,40
1,"Bonnell, Miss. Caroline",female,30
1,"Bonnell, Miss. Elizabeth",female,58
0,"Borebank, Mr. John James",male,42
1,"Bowen, Miss. Grace Scott",female,45
1,"Bowerman, Miss. Elsie Edith",female,22
1,"Bradley, Mr. George (""George Arthur Brayton"")",male,
0,"Brady, Mr. John Bertram",male,41
0,"Brandeis, Mr. Emil",male,48
0,"Brewe, Dr. Arthur Jackson",male,
1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44
1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59
1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60
1,"Burns, Miss. Elizabeth Margaret",female,41
0,"Butt, Major. Archibald Willingham",male,45
0,"Cairns, Mr. Alexander",male,
1,"Calderhead, Mr. Edward Pennington",male,42
1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",female,53
1,"Cardeza, Mr. Thomas Drake Martinez",male,36
1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,58
0,"Carlsson, Mr. Frans Olof",male,33
0,"Carrau, Mr. Francisco M",male,28
0,"Carrau, Mr. Jose Pedro",male,17
1,"Carter, Master. William Thornton II",male,11
1,"Carter, Miss. Lucile Polk",female,14
1,"Carter, Mr. William Ernest",male,36
1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36
0,"Case, Mr. Howard Brown",male,49
1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,
0,"Cavendish, Mr. Tyrell William",male,36
1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,76
0,"Chaffee, Mr. Herbert Fuller",male,46
1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47
1,"Chambers, Mr. Norman Campbell",male,27
1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33
1,"Chaudanson, Miss. Victorine",female,36
1,"Cherry, Miss. Gladys",female,30
1,"Chevre, Mr. Paul Romaine",male,45
1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,
0,"Chisholm, Mr. Roderick Robert Crispin",male,
0,"Clark, Mr. Walter Miller",male,27
1,"Clark, Mrs. Walter Miller (Virginia McDowell)",female,26
1,"Cleaver, Miss. Alice",female,22
0,"Clifford, Mr. George Quincy",male,
